"","X1","X2","X3"
"258","jeff-feldman","1371244939095","crunchbase"
"259","rachel-mcconnell","1371244939914","crunchbase"
"260","eric-nguyen","1371244940980","crunchbase"
"261","cloude-porteus","1371244942023","crunchbase"
"262","noah-weinstein","1371244942902","crunchbase"
"263","melinda-dunn","1371244947306","crunchbase"
"264","ravi-mhatre","1371244950439","crunchbase"
"265","peter-nieh","1371244953492","crunchbase"
"266","tom-mckinley","1371244959879","crunchbase"
"267","vincent-worms","1371244961083","crunchbase"
"268","tariq-krim","1371244962579","crunchbase"
"269","dmitry-dimov","1371244964164","crunchbase"
"270","brian-mulloy","1371244965242","crunchbase"
"271","max-levchin","1371244966333","crunchbase"
"272","xochi-birch","1371244972207","crunchbase"
"273","james-beck","1371244973589","crunchbase"
"274","david-ladd","1371244987990","crunchbase"
"275","janice-roberts","1371244993986","crunchbase"
"276","robin-vasan","1371244995273","crunchbase"
"277","danny-hillis","1371245004898","crunchbase"
"278","robert-cook","1371245005921","crunchbase"
"279","john-giannandrea","1371245007184","crunchbase"
"280","matthew-sanchez","1371245008089","crunchbase"
"281","kevin-harvey","1371245012710","crunchbase"
"282","jarl-mohn","1371245014934","crunchbase"
"283","david-zhao","1371245016410","crunchbase"
"284","fernando-ruarte","1371245019243","crunchbase"
"285","raj-narayan","1371245020378","crunchbase"
"286","ernie-cicogna","1371245021409","crunchbase"
"287","dianna-mullins","1371245022370","crunchbase"
"288","mitch-kapor","1371245027727","crunchbase"
"289","josh-herst","1371245036589","crunchbase"
"290","robin-harper","1371245041137","crunchbase"
"291","joe-miller","1371245042355","crunchbase"
"292","ginsu-yoon","1371245043594","crunchbase"
"293","kate-chhabra","1371245053707","crunchbase"
"294","sujit-banerjee","1371245054739","crunchbase"
"295","peter-buhl","1371245057101","crunchbase"
"296","jonathan-ebinger","1371245060018","crunchbase"
"297","yossi-hasson","1371245062955","crunchbase"
"298","antti-kokkinen","1371245064245","crunchbase"
"299","john-malloy","1371245066100","crunchbase"
"300","jui-tan","1371245069800","crunchbase"
"301","marc-canter","1371245073513","crunchbase"
"302","howard-schultz","1371245074504","crunchbase"
